a,b,c,d,pm
1.12e-05,0.000132012,3.2e-06,95.80086818,95.1096576
1.12e-05,0.000132012,3.2e-06,96.93510349,96.25242689
1.12e-05,0.000132012,3.2e-06,97.94974122,97.27148214
1.12e-05,0.000132012,3.2e-06,98.8721372,98.19582444
1.12e-05,0.000132012,3.2e-06,99.27470453,98.63235388
1.12e-05,0.000132012,3.2e-06,99.2985927,98.68074865
1.12e-05,0.000132012,3.2e-06,99.08563362,98.49322221
1.12e-05,0.000132012,3.2e-06,98.32932963,97.94975526
1.12e-05,0.000132012,3.2e-06,96.20804618,95.95914625
1.12e-05,0.000132012,3.2e-06,93.67336683,93.53661778
1.12e-05,0.000132012,3.466667e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,3.466667e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,3.466667e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,3.466667e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,3.466667e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,3.466667e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,3.466667e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,3.466667e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,3.466667e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,3.466667e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,3.466667e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,3.466667e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,3.466667e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,3.466667e-06,86.7949393,88.61469996
1.12e-05,0.000132012,3.466667e-06,84.66260863,86.17076176
1.12e-05,0.000132012,3.466667e-06,83.50160997,84.980483
1.12e-05,0.000132012,3.466667e-06,82.45931632,83.90663733
1.12e-05,0.000132012,3.466667e-06,81.504382,82.91904484
1.12e-05,0.000132012,3.466667e-06,80.61853392,82.00009291
1.12e-05,0.000132012,3.466667e-06,80.37123022,81.59130499
1.12e-05,0.000132012,3.466667e-06,80.2801537,81.48264624
1.12e-05,0.000132012,3.466667e-06,80.1860831,81.37134384
1.12e-05,0.000132012,3.466667e-06,80.08806335,81.2564455
1.12e-05,0.000132012,3.466667e-06,79.98629115,81.13821028
1.12e-05,0.000132012,3.466667e-06,79.8814777,81.01733494
1.12e-05,0.000132012,3.466667e-06,79.77460345,80.89477368
1.12e-05,0.000132012,3.733333e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,3.733333e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,3.733333e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,3.733333e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,3.733333e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,3.733333e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,3.733333e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,3.733333e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,3.733333e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,3.733333e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,3.733333e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,3.733333e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,3.733333e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,3.733333e-06,91.65851295,92.95200919
1.12e-05,0.000132012,3.733333e-06,88.66459339,89.81477374
1.12e-05,0.000132012,3.733333e-06,87.43103557,88.46412061
1.12e-05,0.000132012,3.733333e-06,86.30960092,87.32435387
1.12e-05,0.000132012,3.733333e-06,85.27530222,86.26937683
1.12e-05,0.000132012,3.733333e-06,84.3010913,85.27548355
1.12e-05,0.000132012,3.733333e-06,83.60751238,84.45533925
1.12e-05,0.000132012,3.733333e-06,83.4716373,84.30869192
1.12e-05,0.000132012,3.733333e-06,83.33351345,84.1599256
1.12e-05,0.000132012,3.733333e-06,83.1920486,84.00775486
1.12e-05,0.000132012,3.733333e-06,83.04775889,83.85291515
1.12e-05,0.000132012,3.733333e-06,82.90133152,83.69609373
1.12e-05,0.000132012,3.733333e-06,82.75368985,83.53820459
1.12e-05,0.000132012,4.8e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,4.8e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,4.8e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,4.8e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,4.8e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,4.8e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,4.8e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,4.8e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,4.8e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,4.8e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,4.8e-06,8.11e-05,8.11e-05
