a,b,c,d,ugf
1.12e-05,0.000132012,3.2e-06,17203798.56,17259110.89
1.12e-05,0.000132012,3.2e-06,19560916.38,19576124.58
1.12e-05,0.000132012,3.2e-06,21656801.63,21637912.79
1.12e-05,0.000132012,3.2e-06,23533903.33,23485121.66
1.12e-05,0.000132012,3.2e-06,26918126.21,26734854.21
1.12e-05,0.000132012,3.2e-06,30557874.78,30310643.38
1.12e-05,0.000132012,3.2e-06,33895964.4,33592208.94
1.12e-05,0.000132012,3.2e-06,37690897.26,36940494.28
1.12e-05,0.000132012,3.2e-06,43435775.7,42585271.84
1.12e-05,0.000132012,3.2e-06,48674988.28,47764986.28
1.12e-05,0.000132012,3.466667e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,3.466667e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,3.466667e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,3.466667e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,3.466667e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,3.466667e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,3.466667e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,3.466667e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,3.466667e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,3.466667e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,3.466667e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,3.466667e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,3.466667e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,3.466667e-06,4368852.773,4298644.858
1.12e-05,0.000132012,3.466667e-06,4940406.028,4823872.067
1.12e-05,0.000132012,3.466667e-06,5558629.011,5460168.753
1.12e-05,0.000132012,3.466667e-06,6064619.186,5980560.985
1.12e-05,0.000132012,3.466667e-06,6488569.114,6416271.855
1.12e-05,0.000132012,3.466667e-06,6850278.016,6787757.367
1.12e-05,0.000132012,3.466667e-06,7444584.749,7327268.951
1.12e-05,0.000132012,3.466667e-06,8033086.017,7929910.076
1.12e-05,0.000132012,3.466667e-06,8554185.326,8463265.409
1.12e-05,0.000132012,3.466667e-06,9020033.597,8939848.838
1.12e-05,0.000132012,3.466667e-06,9439794.423,9369078.743
1.12e-05,0.000132012,3.466667e-06,9820568.601,9758263.85
1.12e-05,0.000132012,3.466667e-06,10167966.01,10113178.36
1.12e-05,0.000132012,3.733333e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,3.733333e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,3.733333e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,3.733333e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,3.733333e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,3.733333e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,3.733333e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,3.733333e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,3.733333e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,3.733333e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,3.733333e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,3.733333e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,3.733333e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,3.733333e-06,4173059.894,4116423.495
1.12e-05,0.000132012,3.733333e-06,4617292.617,4547719.774
1.12e-05,0.000132012,3.733333e-06,5285130.699,5206664.696
1.12e-05,0.000132012,3.733333e-06,5830655.901,5763289.613
1.12e-05,0.000132012,3.733333e-06,6286564.47,6228392.194
1.12e-05,0.000132012,3.733333e-06,6675539.983,6624856.768
1.12e-05,0.000132012,3.733333e-06,7117081.576,7022346.428
1.12e-05,0.000132012,3.733333e-06,7744350.277,7660466.098
1.12e-05,0.000132012,3.733333e-06,8299070.725,8224600.145
1.12e-05,0.000132012,3.733333e-06,8794420.642,8728251.7
1.12e-05,0.000132012,3.733333e-06,9240221.127,9181388.337
1.12e-05,0.000132012,3.733333e-06,9644140.192,9591835.671
1.12e-05,0.000132012,3.733333e-06,10012236.23,9965776.82
1.12e-05,0.000132012,4.8e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,4.8e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,4.8e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,4.8e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,4.8e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,4.8e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,4.8e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,4.8e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,4.8e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,4.8e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,4.8e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,4.8e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,4.8e-06,8.96e-05,8.96e-05
