a,b,c,d,gain
1.12e-05,0.000132012,3.2e-06,20.98191391,21.18321706
1.12e-05,0.000132012,3.2e-06,22.0972222,22.2939213
1.12e-05,0.000132012,3.2e-06,23.18335743,23.37523564
1.12e-05,0.000132012,3.2e-06,24.2506797,24.43687049
1.12e-05,0.000132012,3.2e-06,25.31831099,25.49805492
1.12e-05,0.000132012,3.2e-06,26.38913,26.56149242
1.12e-05,0.000132012,3.2e-06,27.47671858,27.64085056
1.12e-05,0.000132012,3.2e-06,28.60364615,28.74947039
1.12e-05,0.000132012,3.2e-06,29.77270419,29.90282217
1.12e-05,0.000132012,3.2e-06,31.00534811,31.12895419
1.12e-05,0.000132012,3.466667e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,3.466667e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,3.466667e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,3.466667e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,3.466667e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,3.466667e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,3.466667e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,3.466667e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,3.466667e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,3.466667e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,3.466667e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,3.466667e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,3.466667e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,3.466667e-06,8.943596846,8.685481578
1.12e-05,0.000132012,3.466667e-06,10.03212576,9.774098673
1.12e-05,0.000132012,3.466667e-06,11.01661307,10.75882484
1.12e-05,0.000132012,3.466667e-06,11.91692772,11.65942715
1.12e-05,0.000132012,3.466667e-06,12.74778388,12.49063546
1.12e-05,0.000132012,3.466667e-06,13.52043927,13.26369385
1.12e-05,0.000132012,3.466667e-06,14.24386492,13.98757714
1.12e-05,0.000132012,3.466667e-06,14.92478148,14.6689892
1.12e-05,0.000132012,3.466667e-06,15.56892609,15.31367198
1.12e-05,0.000132012,3.466667e-06,16.18094633,15.92628672
1.12e-05,0.000132012,3.466667e-06,16.76468323,16.51065921
1.12e-05,0.000132012,3.466667e-06,17.32337948,17.0700322
1.12e-05,0.000132012,3.466667e-06,17.85979103,17.60716202
1.12e-05,0.000132012,3.733333e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,3.733333e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,3.733333e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,3.733333e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,3.733333e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,3.733333e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,3.733333e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,3.733333e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,3.733333e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,3.733333e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,3.733333e-06,8.11e-05,8.11e-05
