a,b,c,d,ugf
1.12e-05,0.000132012,3.2e-06,5.55e-05,19560916.38
1.12e-05,0.000132012,3.2e-06,5.97e-05,21656801.63
1.12e-05,0.000132012,3.2e-06,6.4e-05,23533903.33
1.12e-05,0.000132012,3.2e-06,6.83e-05,26918126.21
1.12e-05,0.000132012,3.2e-06,7.25e-05,30557874.78
1.12e-05,0.000132012,3.2e-06,7.68e-05,33895964.4
1.12e-05,0.000132012,3.2e-06,8.11e-05,37690897.26
1.12e-05,0.000132012,3.2e-06,8.53e-05,43435775.7
1.12e-05,0.000132012,3.2e-06,8.96e-05,48674988.28
1.12e-05,0.000132012,3.466667e-06,3.84e-05,12342272.55
1.12e-05,0.000132012,3.466667e-06,4.27e-05,13946273.57
1.12e-05,0.000132012,3.466667e-06,4.69e-05,15294184.9
1.12e-05,0.000132012,3.466667e-06,5.12e-05,17231295.89
1.12e-05,0.000132012,3.466667e-06,5.55e-05,19568754.35
1.12e-05,0.000132012,3.466667e-06,5.97e-05,21648016.31
1.12e-05,0.000132012,3.466667e-06,6.4e-05,23510526.92
1.12e-05,0.000132012,3.466667e-06,6.83e-05,26829659.11
1.12e-05,0.000132012,3.466667e-06,7.25e-05,30438222.77
1.12e-05,0.000132012,3.466667e-06,7.68e-05,33748793.34
1.12e-05,0.000132012,3.466667e-06,8.11e-05,37312341.19
1.12e-05,0.000132012,3.466667e-06,8.53e-05,43034248.06
1.12e-05,0.000132012,3.466667e-06,8.96e-05,48232583.65
1.12e-05,0.000132012,3.466667e-06,3.84e-05,4368852.773
1.12e-05,0.000132012,3.466667e-06,4.27e-05,4940406.028
1.12e-05,0.000132012,3.466667e-06,4.69e-05,5558629.011
1.12e-05,0.000132012,3.466667e-06,5.12e-05,6064619.186
1.12e-05,0.000132012,3.466667e-06,5.55e-05,6488569.114
1.12e-05,0.000132012,3.466667e-06,5.97e-05,6850278.016
1.12e-05,0.000132012,3.466667e-06,6.4e-05,7444584.749
1.12e-05,0.000132012,3.466667e-06,6.83e-05,8033086.017
1.12e-05,0.000132012,3.466667e-06,7.25e-05,8554185.326
1.12e-05,0.000132012,3.466667e-06,7.68e-05,9020033.597
1.12e-05,0.000132012,3.466667e-06,8.11e-05,9439794.423
1.12e-05,0.000132012,3.466667e-06,8.53e-05,9820568.601
1.12e-05,0.000132012,3.466667e-06,8.96e-05,10167966.01
1.12e-05,0.000132012,3.733333e-06,3.84e-05,4233613.47
1.12e-05,0.000132012,3.733333e-06,4.27e-05,4716609.619
1.12e-05,0.000132012,3.733333e-06,4.69e-05,5369351.754
1.12e-05,0.000132012,3.733333e-06,5.12e-05,5902852.934
1.12e-05,0.000132012,3.733333e-06,5.55e-05,6348798.649
1.12e-05,0.000132012,3.733333e-06,5.97e-05,6729690.941
1.12e-05,0.000132012,3.733333e-06,6.4e-05,7218439.476
1.12e-05,0.000132012,3.733333e-06,6.83e-05,7833934.792
1.12e-05,0.000132012,3.733333e-06,7.25e-05,8378439.712
1.12e-05,0.000132012,3.733333e-06,7.68e-05,8864806.345
1.12e-05,0.000132012,3.733333e-06,8.11e-05,9302672.161
1.12e-05,0.000132012,3.733333e-06,8.53e-05,9699533.782
1.12e-05,0.000132012,3.733333e-06,8.96e-05,10061314.01
1.12e-05,0.000132012,3.733333e-06,3.84e-05,4173059.894
1.12e-05,0.000132012,3.733333e-06,4.27e-05,4617292.617
1.12e-05,0.000132012,3.733333e-06,4.69e-05,5285130.699
1.12e-05,0.000132012,3.733333e-06,5.12e-05,5830655.901
1.12e-05,0.000132012,3.733333e-06,5.55e-05,6286564.47
1.12e-05,0.000132012,3.733333e-06,5.97e-05,6675539.983
1.12e-05,0.000132012,3.733333e-06,6.4e-05,7117081.576
1.12e-05,0.000132012,3.733333e-06,6.83e-05,7744350.277
1.12e-05,0.000132012,3.733333e-06,7.25e-05,8299070.725
1.12e-05,0.000132012,3.733333e-06,7.68e-05,8794420.642
1.12e-05,0.000132012,3.733333e-06,8.11e-05,9240221.127
1.12e-05,0.000132012,3.733333e-06,8.53e-05,9644140.192
1.12e-05,0.000132012,3.733333e-06,8.96e-05,10012236.23
1.12e-05,0.000132012,4.8e-06,3.84e-05,4063246.178
1.12e-05,0.000132012,4.8e-06,4.27e-05,4504017.761
1.12e-05,0.000132012,4.8e-06,4.69e-05,5133266.819
1.12e-05,0.000132012,4.8e-06,5.12e-05,5700193.995
1.12e-05,0.000132012,4.8e-06,5.55e-05,6173824.406
1.12e-05,0.000132012,4.8e-06,5.97e-05,6577265.282
1.12e-05,0.000132012,4.8e-06,6.4e-05,6933517.956
1.12e-05,0.000132012,4.8e-06,6.83e-05,7581691.441
1.12e-05,0.000132012,4.8e-06,7.25e-05,8154540.332
1.12e-05,0.000132012,4.8e-06,7.68e-05,8665905.97
1.12e-05,0.000132012,4.8e-06,8.11e-05,9125862.021
1.12e-05,0.000132012,4.8e-06,8.53e-05,9542380.07
1.12e-05,0.000132012,4.8e-06,8.96e-05,9921758.76
1.12e-05,0.000132012,4.8e-06,3.84e-05,3878365.755
1.12e-05,0.000132012,4.8e-06,4.27e-05,4352105.861
1.12e-05,0.000132012,4.8e-06,4.69e-05,4880232.487
1.12e-05,0.000132012,4.8e-06,5.12e-05,5482186.741
1.12e-05,0.000132012,4.8e-06,5.55e-05,5984750.653
1.12e-05,0.000132012,4.8e-06,5.97e-05,6412086.585
1.12e-05,0.000132012,4.8e-06,6.4e-05,6780652.012
1.12e-05,0.000132012,4.8e-06,6.83e-05,7308497.877
1.12e-05,0.000132012,4.8e-06,7.25e-05,7910634.567
1.12e-05,0.000132012,4.8e-06,7.68e-05,8448319.693
1.12e-05,0.000132012,4.8e-06,8.11e-05,8931552.625
1.12e-05,0.000132012,4.8e-06,8.53e-05,9368800.611
