a,b,c,d,ugf
1.12e-05,0.000132012,4.266667e-06,5.12e-05,5640901.883
1.12e-05,0.000132012,4.266667e-06,5.55e-05,6122478.074
1.12e-05,0.000132012,4.266667e-06,5.97e-05,6532446.778
1.12e-05,0.000132012,4.266667e-06,6.4e-05,6886206.27
1.12e-05,0.000132012,4.266667e-06,6.83e-05,7507518.352
1.12e-05,0.000132012,4.266667e-06,7.25e-05,8088465.092
1.12e-05,0.000132012,4.266667e-06,7.68e-05,8607033.52
1.12e-05,0.000132012,4.266667e-06,8.11e-05,9073358.572
1.12e-05,0.000132012,4.266667e-06,8.53e-05,9495547.903
1.12e-05,0.000132012,4.266667e-06,8.96e-05,9880007.839
1.12e-05,0.000132012,4.533333e-06,3.84e-05,3799162.638
1.12e-05,0.000132012,4.533333e-06,4.27e-05,4286798.274
1.12e-05,0.000132012,4.533333e-06,4.69e-05,4772887.345
1.12e-05,0.000132012,4.533333e-06,5.12e-05,5389528.698
1.12e-05,0.000132012,4.533333e-06,5.55e-05,5904187.669
1.12e-05,0.000132012,4.533333e-06,5.97e-05,6341604.229
1.12e-05,0.000132012,4.533333e-06,6.4e-05,6718747.245
1.12e-05,0.000132012,4.533333e-06,6.83e-05,7192147.349
1.12e-05,0.000132012,4.533333e-06,7.25e-05,7806238.635
1.12e-05,0.000132012,4.533333e-06,7.68e-05,8355028.681
1.12e-05,0.000132012,4.533333e-06,8.11e-05,8848078.942
1.12e-05,0.000132012,4.533333e-06,8.53e-05,9294066.82
1.12e-05,0.000132012,4.533333e-06,8.96e-05,9699854.376
1.12e-05,0.000132012,4e-06,3.84e-05,58447199.08
1.12e-05,0.000132012,4e-06,4.27e-05,73125356.44
1.12e-05,0.000132012,4e-06,4.69e-05,83120794.83
1.12e-05,0.000132012,4e-06,5.12e-05,94254258.76
1.12e-05,0.000132012,4e-06,5.55e-05,102369802.1
1.12e-05,0.000132012,4e-06,5.97e-05,108533056.5
1.12e-05,0.000132012,4e-06,6.4e-05,113344844.6
1.12e-05,0.000132012,4e-06,6.83e-05,117156225.7
1.12e-05,0.000132012,4e-06,7.25e-05,120185223.0
1.12e-05,0.000132012,4e-06,7.68e-05,122593839.5
1.12e-05,0.000132012,4e-06,8.11e-05,124513336.6
1.12e-05,0.000132012,4e-06,8.53e-05,126198969.8
1.12e-05,0.000132012,4e-06,8.96e-05,128677520.7
1.12e-05,0.000132012,5.6e-06,3.84e-05,63180016.47
1.12e-05,0.000132012,5.6e-06,4.27e-05,77734958.61
1.12e-05,0.000132012,5.6e-06,4.69e-05,90089481.13
1.12e-05,0.000132012,5.6e-06,5.12e-05,100700319.3
