a,b,c,d,pm
1.12e-05,0.000132012,4.266667e-06,5.55e-05,87.99009246
1.12e-05,0.000132012,4.266667e-06,5.97e-05,86.96351097
1.12e-05,0.000132012,4.266667e-06,6.4e-05,85.99222166
1.12e-05,0.000132012,4.266667e-06,6.83e-05,85.75150768
1.12e-05,0.000132012,4.266667e-06,7.25e-05,85.5853826
1.12e-05,0.000132012,4.266667e-06,7.68e-05,85.41535279
1.12e-05,0.000132012,4.266667e-06,8.11e-05,85.24285244
1.12e-05,0.000132012,4.266667e-06,8.53e-05,85.06857184
1.12e-05,0.000132012,4.266667e-06,8.96e-05,84.8934119
1.12e-05,0.000132012,4.533333e-06,3.84e-05,99.45785989
1.12e-05,0.000132012,4.533333e-06,4.27e-05,96.14243056
1.12e-05,0.000132012,4.533333e-06,4.69e-05,93.59378307
1.12e-05,0.000132012,4.533333e-06,5.12e-05,92.37727855
1.12e-05,0.000132012,4.533333e-06,5.55e-05,91.23424204
1.12e-05,0.000132012,4.533333e-06,5.97e-05,90.15064803
1.12e-05,0.000132012,4.533333e-06,6.4e-05,89.11840755
1.12e-05,0.000132012,4.533333e-06,6.83e-05,88.4511949
1.12e-05,0.000132012,4.533333e-06,7.25e-05,88.25708472
1.12e-05,0.000132012,4.533333e-06,7.68e-05,88.05518864
1.12e-05,0.000132012,4.533333e-06,8.11e-05,87.85103059
1.12e-05,0.000132012,4.533333e-06,8.53e-05,87.64531785
1.12e-05,0.000132012,4.533333e-06,8.96e-05,87.43891679
1.12e-05,0.000132012,4e-06,3.84e-05,97.48893279
1.12e-05,0.000132012,4e-06,4.27e-05,92.3237253
1.12e-05,0.000132012,4e-06,4.69e-05,87.83429907
1.12e-05,0.000132012,4e-06,5.12e-05,85.10860944
1.12e-05,0.000132012,4e-06,5.55e-05,82.14122872
1.12e-05,0.000132012,4e-06,5.97e-05,78.51464608
1.12e-05,0.000132012,4e-06,6.4e-05,74.38641083
1.12e-05,0.000132012,4e-06,6.83e-05,70.3108262
1.12e-05,0.000132012,4e-06,7.25e-05,66.67270769
1.12e-05,0.000132012,4e-06,7.68e-05,63.55373999
1.12e-05,0.000132012,4e-06,8.11e-05,60.89792651
1.12e-05,0.000132012,4e-06,8.53e-05,58.65328973
1.12e-05,0.000132012,4e-06,8.96e-05,56.93292742
1.12e-05,0.000132012,5.6e-06,3.84e-05,97.28726933
1.12e-05,0.000132012,5.6e-06,4.27e-05,91.3134411
1.12e-05,0.000132012,5.6e-06,4.69e-05,86.93783319
1.12e-05,0.000132012,5.6e-06,5.12e-05,83.92638604
1.12e-05,0.000132012,5.6e-06,5.55e-05,80.74591243
1.12e-05,0.000132012,5.6e-06,5.97e-05,77.05074667
1.12e-05,0.000132012,5.6e-06,6.4e-05,72.99736913
1.12e-05,0.000132012,5.6e-06,6.83e-05,69.05428794
1.12e-05,0.000132012,5.6e-06,7.25e-05,65.53603396
1.12e-05,0.000132012,5.6e-06,7.68e-05,62.80298643
1.12e-05,0.000132012,5.6e-06,8.11e-05,60.5637445
1.12e-05,0.000132012,5.6e-06,8.53e-05,58.61630616
1.12e-05,0.000132012,5.6e-06,8.96e-05,56.91423638
1.12e-05,0.000132012,5.066667e-06,3.84e-05,96.99367908
1.12e-05,0.000132012,5.066667e-06,4.27e-05,90.38505094
1.12e-05,0.000132012,5.066667e-06,4.69e-05,86.11290022
1.12e-05,0.000132012,5.066667e-06,5.12e-05,82.86674069
1.12e-05,0.000132012,5.066667e-06,5.55e-05,79.51436163
1.12e-05,0.000132012,5.066667e-06,5.97e-05,75.76056439
1.12e-05,0.000132012,5.066667e-06,6.4e-05,71.76108375
1.12e-05,0.000132012,5.066667e-06,6.83e-05,68.01029302
1.12e-05,0.000132012,5.066667e-06,7.25e-05,65.15193768
1.12e-05,0.000132012,5.066667e-06,7.68e-05,62.61538852
1.12e-05,0.000132012,5.066667e-06,8.11e-05,60.40152103
1.12e-05,0.000132012,5.066667e-06,8.53e-05,58.47167297
1.12e-05,0.000132012,5.066667e-06,8.96e-05,56.78183335
1.12e-05,0.000132012,5.333333e-06,3.84e-05,96.77849889
1.12e-05,0.000132012,5.333333e-06,4.27e-05,89.81346172
1.12e-05,0.000132012,5.333333e-06,4.69e-05,85.6004672
1.12e-05,0.000132012,5.333333e-06,5.12e-05,82.2208667
1.12e-05,0.000132012,5.333333e-06,5.55e-05,78.77065688
1.12e-05,0.000132012,5.333333e-06,5.97e-05,74.98251537
1.12e-05,0.000132012,5.333333e-06,6.4e-05,71.01141245
1.12e-05,0.000132012,5.333333e-06,6.83e-05,67.81718311
1.12e-05,0.000132012,5.333333e-06,7.25e-05,64.98316176
1.12e-05,0.000132012,5.333333e-06,7.68e-05,62.46517946
1.12e-05,0.000132012,5.333333e-06,8.11e-05,60.26430346
1.12e-05,0.000132012,5.333333e-06,8.53e-05,58.34324915
1.12e-05,0.000132012,5.333333e-06,8.96e-05,56.65932117
1.12e-05,0.0,5.333333e-06,3.84e-05,85.57083514
1.12e-05,0.0,5.333333e-06,4.27e-05,86.84255574
1.12e-05,0.0,5.333333e-06,4.69e-05,88.02291278
1.12e-05,0.0,5.333333e-06,5.12e-05,89.29630355
1.12e-05,0.0,5.333333e-06,5.55e-05,90.54398688
1.12e-05,0.0,5.333333e-06,5.97e-05,91.63800314
1.12e-05,0.0,5.333333e-06,6.4e-05,92.60775768
1.12e-05,0.0,5.333333e-06,6.83e-05,93.45051836
1.12e-05,0.0,5.333333e-06,7.25e-05,93.78930775
1.12e-05,0.0,5.333333e-06,7.68e-05,93.89758349
1.12e-05,0.0,5.333333e-06,8.11e-05,93.7989716
1.12e-05,0.0,5.333333e-06,8.53e-05,93.51361288
1.12e-05,0.0,5.333333e-06,8.96e-05,92.48521681
1.12e-05,0.0003889991,2.4e-06,3.84e-05,87.45518034
1.12e-05,0.0003889991,2.4e-06,4.27e-05,88.66845542
1.12e-05,0.0003889991,2.4e-06,4.69e-05,89.79810965
1.12e-05,0.0003889991,2.4e-06,5.12e-05,91.01448902
1.12e-05,0.0003889991,2.4e-06,5.55e-05,92.22330474
1.12e-05,0.0003889991,2.4e-06,5.97e-05,93.28808172
1.12e-05,0.0003889991,2.4e-06,6.4e-05,94.23548626
1.12e-05,0.0003889991,2.4e-06,6.83e-05,94.99752524
1.12e-05,0.0003889991,2.4e-06,7.25e-05,95.25232736
1.12e-05,0.0003889991,2.4e-06,7.68e-05,95.27711548
1.12e-05,0.0003889991,2.4e-06,8.11e-05,95.09297469
1.12e-05,0.0003889991,2.4e-06,8.53e-05,94.68480025
1.12e-05,0.0003889991,2.4e-06,8.96e-05,93.10811483
1.12e-05,0.0003889991,2.666667e-06,3.84e-05,88.93439906
1.12e-05,0.0003889991,2.666667e-06,4.27e-05,90.10226926
1.12e-05,0.0003889991,2.666667e-06,4.69e-05,91.19416276
1.12e-05,0.0003889991,2.666667e-06,5.12e-05,92.36510158
1.12e-05,0.0003889991,2.666667e-06,5.55e-05,93.54746105
1.12e-05,0.0003889991,2.666667e-06,5.97e-05,94.59304737
1.12e-05,0.0003889991,2.666667e-06,6.4e-05,95.52653647
1.12e-05,0.0003889991,2.666667e-06,6.83e-05,96.22434869
1.12e-05,0.0003889991,2.666667e-06,7.25e-05,96.41812216
1.12e-05,0.0003889991,2.666667e-06,7.68e-05,96.38146345
1.12e-05,0.0003889991,2.666667e-06,8.11e-05,96.13321686
1.12e-05,0.0003889991,2.666667e-06,8.53e-05,95.35310881
