a,b,c,d,gain
1.12e-05,0.000132012,4.266667e-06,5.12e-05,10.70156282
1.12e-05,0.000132012,4.266667e-06,5.55e-05,11.53408295
1.12e-05,0.000132012,4.266667e-06,5.97e-05,12.30918753
1.12e-05,0.000132012,4.266667e-06,6.4e-05,13.03499586
1.12e-05,0.000132012,4.266667e-06,6.83e-05,13.71844305
1.12e-05,0.000132012,4.266667e-06,7.25e-05,14.36520941
1.12e-05,0.000132012,4.266667e-06,7.68e-05,14.98037725
1.12e-05,0.000132012,4.266667e-06,8.11e-05,15.56744539
1.12e-05,0.000132012,4.266667e-06,8.53e-05,16.12966144
1.12e-05,0.000132012,4.266667e-06,8.96e-05,16.66978686
1.12e-05,0.000132012,4.533333e-06,3.84e-05,7.078997588
1.12e-05,0.000132012,4.533333e-06,4.27e-05,8.169048853
1.12e-05,0.000132012,4.533333e-06,4.69e-05,9.15564979
1.12e-05,0.000132012,4.533333e-06,5.12e-05,10.05872846
1.12e-05,0.000132012,4.533333e-06,5.55e-05,10.89276366
1.12e-05,0.000132012,4.533333e-06,5.97e-05,11.66907413
1.12e-05,0.000132012,4.533333e-06,6.4e-05,12.39639411
1.12e-05,0.000132012,4.533333e-06,6.83e-05,13.08130231
1.12e-05,0.000132012,4.533333e-06,7.25e-05,13.72890157
1.12e-05,0.000132012,4.533333e-06,7.68e-05,14.34625581
1.12e-05,0.000132012,4.533333e-06,8.11e-05,14.93556465
1.12e-05,0.000132012,4.533333e-06,8.53e-05,15.50008522
1.12e-05,0.000132012,4.533333e-06,8.96e-05,16.04259404
1.12e-05,0.000132012,4e-06,3.84e-05,36.87881435
1.12e-05,0.000132012,4e-06,4.27e-05,41.8930602
1.12e-05,0.000132012,4e-06,4.69e-05,46.808501
1.12e-05,0.000132012,4e-06,5.12e-05,50.2190822
1.12e-05,0.000132012,4e-06,5.55e-05,52.41700525
1.12e-05,0.000132012,4e-06,5.97e-05,53.79708638
1.12e-05,0.000132012,4e-06,6.4e-05,54.64092815
1.12e-05,0.000132012,4e-06,6.83e-05,55.15480711
1.12e-05,0.000132012,4e-06,7.25e-05,55.46588177
1.12e-05,0.000132012,4e-06,7.68e-05,55.64730239
1.12e-05,0.000132012,4e-06,8.11e-05,55.74030208
1.12e-05,0.000132012,4e-06,8.53e-05,55.76800394
1.12e-05,0.000132012,4e-06,8.96e-05,55.74307626
1.12e-05,0.000132012,5.6e-06,3.84e-05,36.70432495
1.12e-05,0.000132012,5.6e-06,4.27e-05,41.94359765
1.12e-05,0.000132012,5.6e-06,4.69e-05,46.91292972
1.12e-05,0.000132012,5.6e-06,5.12e-05,50.23117151
1.12e-05,0.000132012,5.6e-06,5.55e-05,52.32880733
1.12e-05,0.000132012,5.6e-06,5.97e-05,53.6342512
1.12e-05,0.000132012,5.6e-06,6.4e-05,54.43462645
1.12e-05,0.000132012,5.6e-06,6.83e-05,54.92729103
1.12e-05,0.000132012,5.6e-06,7.25e-05,55.23097945
1.12e-05,0.000132012,5.6e-06,7.68e-05,55.41340831
1.12e-05,0.000132012,5.6e-06,8.11e-05,55.5127831
1.12e-05,0.000132012,5.6e-06,8.53e-05,55.55068482
1.12e-05,0.000132012,5.6e-06,8.96e-05,55.5391147
1.12e-05,0.000132012,5.066667e-06,3.84e-05,36.58617462
1.12e-05,0.000132012,5.066667e-06,4.27e-05,42.00357706
1.12e-05,0.000132012,5.066667e-06,4.69e-05,46.99589072
1.12e-05,0.000132012,5.066667e-06,5.12e-05,50.23232554
1.12e-05,0.000132012,5.066667e-06,5.55e-05,52.24958306
1.12e-05,0.000132012,5.066667e-06,5.97e-05,53.49785193
1.12e-05,0.000132012,5.066667e-06,6.4e-05,54.26555914
1.12e-05,0.000132012,5.066667e-06,6.83e-05,54.74248985
1.12e-05,0.000132012,5.066667e-06,7.25e-05,55.04082737
1.12e-05,0.000132012,5.066667e-06,7.68e-05,55.22418413
1.12e-05,0.000132012,5.066667e-06,8.11e-05,55.32849565
1.12e-05,0.000132012,5.066667e-06,8.53e-05,55.37418179
1.12e-05,0.000132012,5.066667e-06,8.96e-05,55.37273036
1.12e-05,0.000132012,5.333333e-06,3.84e-05,36.52569087
1.12e-05,0.000132012,5.333333e-06,4.27e-05,42.04403548
1.12e-05,0.000132012,5.333333e-06,4.69e-05,47.04206418
1.12e-05,0.000132012,5.333333e-06,5.12e-05,50.22951697
1.12e-05,0.000132012,5.333333e-06,5.55e-05,52.20136382
1.12e-05,0.000132012,5.333333e-06,5.97e-05,53.41821844
1.12e-05,0.000132012,5.333333e-06,6.4e-05,54.16819045
1.12e-05,0.000132012,5.333333e-06,6.83e-05,54.63664729
1.12e-05,0.000132012,5.333333e-06,7.25e-05,54.93214442
1.12e-05,0.000132012,5.333333e-06,7.68e-05,55.11606072
1.12e-05,0.000132012,5.333333e-06,8.11e-05,55.22310115
1.12e-05,0.000132012,5.333333e-06,8.53e-05,55.27305381
1.12e-05,0.000132012,5.333333e-06,8.96e-05,55.27712278
1.12e-05,0.0,5.333333e-06,3.84e-05,19.12875418
1.12e-05,0.0,5.333333e-06,4.27e-05,20.40463815
1.12e-05,0.0,5.333333e-06,4.69e-05,21.59589511
1.12e-05,0.0,5.333333e-06,5.12e-05,22.72365924
1.12e-05,0.0,5.333333e-06,5.55e-05,23.80413583
1.12e-05,0.0,5.333333e-06,5.97e-05,24.84993142
1.12e-05,0.0,5.333333e-06,6.4e-05,25.87377201
1.12e-05,0.0,5.333333e-06,6.83e-05,26.88459784
1.12e-05,0.0,5.333333e-06,7.25e-05,27.89262905
1.12e-05,0.0,5.333333e-06,7.68e-05,28.90770396
1.12e-05,0.0,5.333333e-06,8.11e-05,29.94021663
1.12e-05,0.0,5.333333e-06,8.53e-05,31.00009495
1.12e-05,0.0,5.333333e-06,8.96e-05,32.10389774
1.12e-05,0.0003889991,2.4e-06,3.84e-05,18.65347525
1.12e-05,0.0003889991,2.4e-06,4.27e-05,19.93290769
1.12e-05,0.0003889991,2.4e-06,4.69e-05,21.12956433
1.12e-05,0.0003889991,2.4e-06,5.12e-05,22.26370528
1.12e-05,0.0003889991,2.4e-06,5.55e-05,23.35156624
1.12e-05,0.0003889991,2.4e-06,5.97e-05,24.4058354
1.12e-05,0.0003889991,2.4e-06,6.4e-05,25.43992596
1.12e-05,0.0003889991,2.4e-06,6.83e-05,26.46251016
1.12e-05,0.0003889991,2.4e-06,7.25e-05,27.48422104
1.12e-05,0.0003889991,2.4e-06,7.68e-05,28.51535154
1.12e-05,0.0003889991,2.4e-06,8.11e-05,29.56697693
1.12e-05,0.0003889991,2.4e-06,8.53e-05,30.64912227
