a,b,c,d,gain
1.12e-05,0.000132012,3.2e-06,5.55e-05,22.0972222
1.12e-05,0.000132012,3.2e-06,5.97e-05,23.18335743
1.12e-05,0.000132012,3.2e-06,6.4e-05,24.2506797
1.12e-05,0.000132012,3.2e-06,6.83e-05,25.31831099
1.12e-05,0.000132012,3.2e-06,7.25e-05,26.38913
1.12e-05,0.000132012,3.2e-06,7.68e-05,27.47671858
1.12e-05,0.000132012,3.2e-06,8.11e-05,28.60364615
1.12e-05,0.000132012,3.2e-06,8.53e-05,29.77270419
1.12e-05,0.000132012,3.2e-06,8.96e-05,31.00534811
1.12e-05,0.000132012,3.466667e-06,3.84e-05,17.41385012
1.12e-05,0.000132012,3.466667e-06,4.27e-05,18.7092156
1.12e-05,0.000132012,3.466667e-06,4.69e-05,19.92395908
1.12e-05,0.000132012,3.466667e-06,5.12e-05,21.07954645
1.12e-05,0.000132012,3.466667e-06,5.55e-05,22.19254534
1.12e-05,0.000132012,3.466667e-06,5.97e-05,23.27632474
1.12e-05,0.000132012,3.466667e-06,6.4e-05,24.34085554
1.12e-05,0.000132012,3.466667e-06,6.83e-05,25.40535104
1.12e-05,0.000132012,3.466667e-06,7.25e-05,26.47257274
1.12e-05,0.000132012,3.466667e-06,7.68e-05,27.55616714
1.12e-05,0.000132012,3.466667e-06,8.11e-05,28.66978946
1.12e-05,0.000132012,3.466667e-06,8.53e-05,29.83995004
1.12e-05,0.000132012,3.466667e-06,8.96e-05,31.06496936
1.12e-05,0.000132012,3.466667e-06,3.84e-05,8.943596846
1.12e-05,0.000132012,3.466667e-06,4.27e-05,10.03212576
1.12e-05,0.000132012,3.466667e-06,4.69e-05,11.01661307
1.12e-05,0.000132012,3.466667e-06,5.12e-05,11.91692772
1.12e-05,0.000132012,3.466667e-06,5.55e-05,12.74778388
1.12e-05,0.000132012,3.466667e-06,5.97e-05,13.52043927
1.12e-05,0.000132012,3.466667e-06,6.4e-05,14.24386492
1.12e-05,0.000132012,3.466667e-06,6.83e-05,14.92478148
1.12e-05,0.000132012,3.466667e-06,7.25e-05,15.56892609
1.12e-05,0.000132012,3.466667e-06,7.68e-05,16.18094633
1.12e-05,0.000132012,3.466667e-06,8.11e-05,16.76468323
1.12e-05,0.000132012,3.466667e-06,8.53e-05,17.32337948
1.12e-05,0.000132012,3.466667e-06,8.96e-05,17.85979103
1.12e-05,0.000132012,3.733333e-06,3.84e-05,8.454786813
1.12e-05,0.000132012,3.733333e-06,4.27e-05,9.543485336
1.12e-05,0.000132012,3.733333e-06,4.69e-05,10.52847099
1.12e-05,0.000132012,3.733333e-06,5.12e-05,11.42935355
1.12e-05,0.000132012,3.733333e-06,5.55e-05,12.25995807
1.12e-05,0.000132012,3.733333e-06,5.97e-05,13.0343481
1.12e-05,0.000132012,3.733333e-06,6.4e-05,13.75866148
1.12e-05,0.000132012,3.733333e-06,6.83e-05,14.44053721
1.12e-05,0.000132012,3.733333e-06,7.25e-05,15.08571879
1.12e-05,0.000132012,3.733333e-06,7.68e-05,15.69889414
1.12e-05,0.000132012,3.733333e-06,8.11e-05,16.28386369
1.12e-05,0.000132012,3.733333e-06,8.53e-05,16.84387048
1.12e-05,0.000132012,3.733333e-06,8.96e-05,17.38167143
1.12e-05,0.000132012,3.733333e-06,3.84e-05,8.24665238
1.12e-05,0.000132012,3.733333e-06,4.27e-05,9.335406268
1.12e-05,0.000132012,3.733333e-06,4.69e-05,10.32068334
1.12e-05,0.000132012,3.733333e-06,5.12e-05,11.22183795
1.12e-05,0.000132012,3.733333e-06,5.55e-05,12.05300602
1.12e-05,0.000132012,3.733333e-06,5.97e-05,12.82753195
1.12e-05,0.000132012,3.733333e-06,6.4e-05,13.55225039
1.12e-05,0.000132012,3.733333e-06,6.83e-05,14.2345597
1.12e-05,0.000132012,3.733333e-06,7.25e-05,14.88020062
1.12e-05,0.000132012,3.733333e-06,7.68e-05,15.49390744
1.12e-05,0.000132012,3.733333e-06,8.11e-05,16.0794407
1.12e-05,0.000132012,3.733333e-06,8.53e-05,16.64004408
1.12e-05,0.000132012,3.733333e-06,8.96e-05,17.17847523
1.12e-05,0.000132012,4.8e-06,3.84e-05,7.884119299
1.12e-05,0.000132012,4.8e-06,4.27e-05,8.97283806
1.12e-05,0.000132012,4.8e-06,4.69e-05,9.958842712
1.12e-05,0.000132012,4.8e-06,5.12e-05,10.86051582
1.12e-05,0.000132012,4.8e-06,5.55e-05,11.69263535
1.12e-05,0.000132012,4.8e-06,5.97e-05,12.46752414
1.12e-05,0.000132012,4.8e-06,6.4e-05,13.19298776
1.12e-05,0.000132012,4.8e-06,6.83e-05,13.87608103
1.12e-05,0.000132012,4.8e-06,7.25e-05,14.52251677
1.12e-05,0.000132012,4.8e-06,7.68e-05,15.13721608
1.12e-05,0.000132012,4.8e-06,8.11e-05,15.72379475
1.12e-05,0.000132012,4.8e-06,8.53e-05,16.2854987
1.12e-05,0.000132012,4.8e-06,8.96e-05,16.82508783
1.12e-05,0.000132012,4.8e-06,3.84e-05,7.311622943
1.12e-05,0.000132012,4.8e-06,4.27e-05,8.401371667
1.12e-05,0.000132012,4.8e-06,4.69e-05,9.387662885
1.12e-05,0.000132012,4.8e-06,5.12e-05,10.29028678
1.12e-05,0.000132012,4.8e-06,5.55e-05,11.12379177
1.12e-05,0.000132012,4.8e-06,5.97e-05,11.89961114
1.12e-05,0.000132012,4.8e-06,6.4e-05,12.62636371
1.12e-05,0.000132012,4.8e-06,6.83e-05,13.31074201
1.12e-05,0.000132012,4.8e-06,7.25e-05,13.95819267
1.12e-05,0.000132012,4.8e-06,7.68e-05,14.57469089
1.12e-05,0.000132012,4.8e-06,8.11e-05,15.16313335
1.12e-05,0.000132012,4.8e-06,8.53e-05,15.72677266
1.12e-05,0.000132012,4.8e-06,8.96e-05,16.26837692
1.12e-05,0.000132012,4.266667e-06,3.84e-05,7.439696114
1.12e-05,0.000132012,4.266667e-06,4.27e-05,8.529299453
1.12e-05,0.000132012,4.266667e-06,4.69e-05,9.515418953
1.12e-05,0.000132012,4.266667e-06,5.12e-05,10.41781307
1.12e-05,0.000132012,4.266667e-06,5.55e-05,11.25101997
1.12e-05,0.000132012,4.266667e-06,5.97e-05,12.02659453
1.12e-05,0.000132012,4.266667e-06,6.4e-05,12.75304588
1.12e-05,0.000132012,4.266667e-06,6.83e-05,13.43713377
1.12e-05,0.000132012,4.266667e-06,7.25e-05,14.08441148
