PMOS_W,NMOS_W,Gain
1.95e-05,3e-06,14.42
2e-05,3e-06,13.55
3.5e-06,3.5e-06,0.609
4e-06,3.5e-06,4.129
4.5e-06,3.5e-06,8.374
3e-06,3.5e-06,-2.491
5e-06,3.5e-06,12.9
2.5e-06,3.5e-06,-5.455
5.5e-06,3.5e-06,15.69
6e-06,3.5e-06,16.89
2e-06,3.5e-06,-8.493
6.5e-06,3.5e-06,17.6
7e-06,3.5e-06,18.15
7.5e-06,3.5e-06,18.62
1.5e-06,3.5e-06,-11.93
8e-06,3.5e-06,19.03
8.5e-06,3.5e-06,19.37
9e-06,3.5e-06,19.64
9.5e-06,3.5e-06,19.86
1.05e-05,3.5e-06,19.95
1e-05,3.5e-06,20.02
1.1e-05,3.5e-06,20.09
1.15e-05,3.5e-06,20.17
1.2e-05,3.5e-06,20.22
1.25e-05,3.5e-06,20.23
1e-06,3.5e-06,-16.24
1.3e-05,3.5e-06,20.2
1.35e-05,3.5e-06,20.15
1.4e-05,3.5e-06,20.07
1.45e-05,3.5e-06,19.96
1.5e-05,3.5e-06,19.83
1.55e-05,3.5e-06,19.68
1.6e-05,3.5e-06,19.51
1.65e-05,3.5e-06,19.32
1.7e-05,3.5e-06,19.11
1.75e-05,3.5e-06,18.88
1.8e-05,3.5e-06,18.63
1.85e-05,3.5e-06,18.35
1.9e-05,3.5e-06,18.04
1.95e-05,3.5e-06,17.69
2e-05,3.5e-06,17.3
3.5e-06,4e-06,-1.964
4e-06,4e-06,0.802
4.5e-06,4e-06,3.909
3e-06,4e-06,-4.587
5e-06,4e-06,7.579
2.5e-06,4e-06,-7.22
5.5e-06,4e-06,11.68
6e-06,4e-06,14.84
2e-06,4e-06,-10.04
6.5e-06,4e-06,16.37
7e-06,4e-06,17.17
7.5e-06,4e-06,17.74
1.5e-06,4e-06,-13.32
8e-06,4e-06,18.21
8.5e-06,4e-06,18.62
9e-06,4e-06,18.98
9.5e-06,4e-06,19.29
1.05e-05,4e-06,19.43
1e-05,4e-06,19.55
1.1e-05,4e-06,19.65
1.15e-05,4e-06,19.83
1.2e-05,4e-06,19.98
1.25e-05,4e-06,20.09
1e-06,4e-06,-17.49
1.3e-05,4e-06,20.16
1.35e-05,4e-06,20.21
1.4e-05,4e-06,20.22
1.45e-05,4e-06,20.21
1.5e-05,4e-06,20.18
1.55e-05,4e-06,20.12
1.6e-05,4e-06,20.04
1.65e-05,4e-06,19.94
1.7e-05,4e-06,19.83
1.75e-05,4e-06,19.7
1.8e-05,4e-06,19.55
1.85e-05,4e-06,19.39
1.9e-05,4e-06,19.21
1.95e-05,4e-06,19.02
2e-05,4e-06,18.81
3.5e-06,4.5e-06,-3.903
4e-06,4.5e-06,-1.542
4.5e-06,4.5e-06,0.957
3e-06,4.5e-06,-6.25
5e-06,4.5e-06,3.74
2.5e-06,4.5e-06,-8.675
5.5e-06,4.5e-06,6.968
6e-06,4.5e-06,10.63
2e-06,4.5e-06,-11.34
6.5e-06,4.5e-06,13.9
7e-06,4.5e-06,15.8
7.5e-06,4.5e-06,16.76
1.5e-06,4.5e-06,-14.5
8e-06,4.5e-06,17.37
8.5e-06,4.5e-06,17.85
9e-06,4.5e-06,18.26
9.5e-06,4.5e-06,18.62
1.05e-05,4.5e-06,18.79
1e-05,4.5e-06,18.95
1.1e-05,4.5e-06,19.07
1.15e-05,4.5e-06,19.32
1.2e-05,4.5e-06,19.53
1.25e-05,4.5e-06,19.72
1e-06,4.5e-06,-18.58
1.3e-05,4.5e-06,19.87
1.35e-05,4.5e-06,19.99
1.4e-05,4.5e-06,20.09
1.45e-05,4.5e-06,20.15
1.5e-05,4.5e-06,20.2
1.55e-05,4.5e-06,20.22
1.6e-05,4.5e-06,20.21
1.65e-05,4.5e-06,20.19
1.7e-05,4.5e-06,20.15
1.75e-05,4.5e-06,20.09
1.8e-05,4.5e-06,20.02
1.85e-05,4.5e-06,19.93
1.9e-05,4.5e-06,19.83
1.95e-05,4.5e-06,19.71
2e-05,4.5e-06,19.58
3.5e-06,5e-06,-5.463
4e-06,5e-06,-3.347
4.5e-06,5e-06,-1.195
3e-06,5e-06,-7.617
5e-06,5e-06,1.085
2.5e-06,5e-06,-9.911
5.5e-06,5e-06,3.605
6e-06,5e-06,6.487
2e-06,5e-06,-12.48
6.5e-06,5e-06,9.759
7e-06,5e-06,12.95
7.5e-06,5e-06,15.17
1.5e-06,5e-06,-15.54
8e-06,5e-06,16.34
8.5e-06,5e-06,17.02
9e-06,5e-06,17.52
9.5e-06,5e-06,17.94
1.05e-05,5e-06,18.12
1e-05,5e-06,18.3
1.1e-05,5e-06,18.44
1.15e-05,5e-06,18.73
1.2e-05,5e-06,18.99
1.25e-05,5e-06,19.23
1e-06,5e-06,-19.55
1.3e-05,5e-06,19.43
1.35e-05,5e-06,19.61
1.4e-05,5e-06,19.77
1.45e-05,5e-06,19.9
1.5e-05,5e-06,20.0
1.55e-05,5e-06,20.09
1.6e-05,5e-06,20.15
1.65e-05,5e-06,20.19
1.7e-05,5e-06,20.21
1.75e-05,5e-06,20.21
1.8e-05,5e-06,20.2
1.85e-05,5e-06,20.17
1.9e-05,5e-06,20.13
1.95e-05,5e-06,20.07
2e-05,5e-06,20.0
3.5e-06,5.5e-06,-6.773
4e-06,5.5e-06,-4.819
4.5e-06,5.5e-06,-2.885
3e-06,5.5e-06,-8.794
5e-06,5.5e-06,-0.905
2.5e-06,5.5e-06,-10.99
5.5e-06,5.5e-06,1.193
6e-06,5.5e-06,3.496
2e-06,5.5e-06,-13.47
6.5e-06,5.5e-06,6.098
7e-06,5.5e-06,9.042
7.5e-06,5.5e-06,12.07
1.5e-06,5.5e-06,-16.46
8e-06,5.5e-06,14.47
8.5e-06,5.5e-06,15.87
9e-06,5.5e-06,16.68
9.5e-06,5.5e-06,17.22
1.05e-05,5.5e-06,17.44
1e-05,5.5e-06,17.64
1.1e-05,5.5e-06,17.8
1.15e-05,5.5e-06,18.12
1.2e-05,5.5e-06,18.42
1.25e-05,5.5e-06,18.68
1e-06,5.5e-06,-20.42
1.3e-05,5.5e-06,18.93
1.35e-05,5.5e-06,19.15
1.4e-05,5.5e-06,19.35
1.45e-05,5.5e-06,19.52
1.5e-05,5.5e-06,19.68
1.55e-05,5.5e-06,19.81
1.6e-05,5.5e-06,19.92
1.65e-05,5.5e-06,20.01
1.7e-05,5.5e-06,20.09
1.75e-05,5.5e-06,20.14
1.8e-05,5.5e-06,20.18
1.85e-05,5.5e-06,20.2
1.9e-05,5.5e-06,20.21
1.95e-05,5.5e-06,20.2
2e-05,5.5e-06,20.18
3.5e-06,6e-06,-7.889
4e-06,6e-06,-6.064
4.5e-06,6e-06,-4.278
3e-06,6e-06,-9.824
5e-06,6e-06,-2.494
2.5e-06,6e-06,-11.94
5.5e-06,6e-06,-0.659
6e-06,6e-06,1.285
2e-06,6e-06,-14.36
6.5e-06,6e-06,3.405
7e-06,6e-06,5.777
7.5e-06,6e-06,8.441
1.5e-06,6e-06,-17.3
8e-06,6e-06,11.27
8.5e-06,6e-06,13.73
9e-06,6e-06,15.37
9.5e-06,6e-06,16.32
1.05e-05,6e-06,16.65
1e-05,6e-06,16.92
1.1e-05,6e-06,17.12
1.15e-05,6e-06,17.5
1.2e-05,6e-06,17.83
1.25e-05,6e-06,18.13
1e-06,6e-06,-21.21
1.3e-05,6e-06,18.4
1.35e-05,6e-06,18.64
1.4e-05,6e-06,18.87
1.45e-05,6e-06,19.08
1.5e-05,6e-06,19.27
1.55e-05,6e-06,19.44
1.6e-05,6e-06,19.59
1.65e-05,6e-06,19.72
1.7e-05,6e-06,19.84
1.75e-05,6e-06,19.94
1.8e-05,6e-06,20.02
1.85e-05,6e-06,20.09
1.9e-05,6e-06,20.14
1.95e-05,6e-06,20.18
2e-05,6e-06,20.2
3.5e-06,6.5e-06,-8.878
4e-06,6.5e-06,-7.145
4.5e-06,6.5e-06,-5.466
3e-06,6.5e-06,-10.74
5e-06,6.5e-06,-3.817
2.5e-06,6.5e-06,-12.81
5.5e-06,6.5e-06,-2.158
6e-06,6.5e-06,-0.447
2e-06,6.5e-06,-15.16
6.5e-06,6.5e-06,1.364
7e-06,6.5e-06,3.329
7.5e-06,6.5e-06,5.507
1.5e-06,6.5e-06,-18.06
8e-06,6.5e-06,7.932
8.5e-06,6.5e-06,10.56
9e-06,6.5e-06,13.0
9.5e-06,6.5e-06,14.82
1.05e-05,6.5e-06,15.47
1e-05,6.5e-06,15.93
1.1e-05,6.5e-06,16.27
1.15e-05,6.5e-06,16.81
1.2e-05,6.5e-06,17.21
1.25e-05,6.5e-06,17.55
1e-06,6.5e-06,-21.94
1.3e-05,6.5e-06,17.85
1.35e-05,6.5e-06,18.13
1.4e-05,6.5e-06,18.38
1.45e-05,6.5e-06,18.61
1.5e-05,6.5e-06,18.82
1.55e-05,6.5e-06,19.02
