W,X,Y,Phase Margin 
4.41E-05,2.40E-06,5.51E-06,67.01195575
4.41E-05,2.40E-06,6.22E-06,66.36646818
4.41E-05,2.40E-06,6.93E-06,65.78819624
4.41E-05,2.40E-06,7.64E-06,65.26227058
4.41E-05,2.40E-06,8.36E-06,64.77809914
4.41E-05,2.40E-06,9.07E-06,64.32791125
4.41E-05,2.40E-06,9.78E-06,63.90586323
4.41E-05,2.76E-06,1.12E-05,62.46294094
4.41E-05,2.76E-06,1.05E-05,62.89574507
4.41E-05,2.76E-06,4.80E-06,68.0128151
4.41E-05,2.76E-06,5.51E-06,67.23818862
4.41E-05,2.76E-06,6.22E-06,66.55855769
4.41E-05,2.76E-06,6.93E-06,65.95080651
4.41E-05,2.76E-06,7.64E-06,65.39903768
4.41E-05,2.76E-06,8.36E-06,64.89192236
4.41E-05,2.76E-06,9.07E-06,64.42114692
4.41E-05,2.76E-06,9.78E-06,63.98045803
4.41E-05,3.11E-06,1.12E-05,62.43199585
4.41E-05,3.11E-06,1.05E-05,62.88133271
4.41E-05,3.11E-06,4.80E-06,68.20929426
4.41E-05,3.11E-06,5.51E-06,67.39802845
4.41E-05,3.11E-06,6.22E-06,66.68735476
4.41E-05,3.11E-06,6.93E-06,66.05280701
4.41E-05,3.11E-06,7.64E-06,65.47755168
4.41E-05,3.11E-06,8.36E-06,64.94958886
4.41E-05,3.11E-06,9.07E-06,64.4601103
4.41E-05,3.11E-06,9.78E-06,64.00248944
4.41E-05,3.47E-06,1.12E-05,62.36894574
4.41E-05,3.47E-06,1.05E-05,62.8333621
4.41E-05,3.47E-06,4.80E-06,68.35492348
4.41E-05,3.47E-06,5.51E-06,67.51005998
4.41E-05,3.47E-06,6.22E-06,66.77092826
4.41E-05,3.47E-06,6.93E-06,66.11182186
4.41E-05,3.47E-06,7.64E-06,65.51504722
4.41E-05,3.47E-06,8.36E-06,64.96798778
4.41E-05,3.47E-06,9.07E-06,64.46138077
4.41E-05,3.47E-06,9.78E-06,63.98825666
4.41E-05,3.82E-06,1.12E-05,62.2838642
4.41E-05,3.82E-06,1.05E-05,62.76213126
4.41E-05,3.82E-06,4.80E-06,68.46255546
4.41E-05,3.82E-06,5.51E-06,67.58666882
4.41E-05,3.82E-06,6.22E-06,66.82126838
4.41E-05,3.82E-06,6.93E-06,66.13949997
4.41E-05,3.82E-06,7.64E-06,65.522874
4.41E-05,3.82E-06,8.36E-06,64.9582032
4.41E-05,3.82E-06,9.07E-06,64.43580407
4.41E-05,3.82E-06,9.78E-06,63.94838966
4.41E-05,4.18E-06,1.12E-05,62.18349373
4.41E-05,4.18E-06,1.05E-05,62.67455809
4.41E-05,4.18E-06,4.80E-06,68.54112933
4.41E-05,4.18E-06,5.51E-06,67.6364286
4.41E-05,4.18E-06,6.22E-06,66.84663896
4.41E-05,4.18E-06,6.93E-06,66.14383753
4.41E-05,4.18E-06,7.64E-06,65.50879345
4.41E-05,4.18E-06,8.36E-06,64.92778793
4.41E-05,4.18E-06,9.07E-06,64.39074572
4.41E-05,4.18E-06,9.78E-06,63.89008427
4.41E-05,4.53E-06,1.12E-05,62.07248111
4.41E-05,4.53E-06,1.05E-05,62.5754292
4.41E-05,4.53E-06,4.80E-06,68.59705812
4.41E-05,4.53E-06,5.51E-06,67.66546086
4.41E-05,4.53E-06,6.22E-06,66.85291426
4.41E-05,4.53E-06,6.93E-06,66.13049502
4.41E-05,4.53E-06,7.64E-06,65.47827835
4.41E-05,4.53E-06,8.36E-06,64.8820479
4.41E-05,4.53E-06,9.07E-06,64.33136171
