 P             N,0.000001,0.0000015,0.000002,0.0000025,0.000003,0.0000035,0.000004,0.0000045,0.000005,0.0000055,0.000006,0.0000065,0.000007,0.0000075,0.000008,0.0000085,0.000009,0.0000095,0.00001,0.0000105,0.000011,0.0000115,0.000012,0.0000125,0.000013,0.0000135,0.000014,0.0000145,0.000015,0.0000155,0.000016,0.0000165,0.000017,0.0000175,0.000018,0.0000185,0.000019,0.0000195,0.00002
3.50E-06,20.13,18.64,16.57,10.92,4.426,6.09E-01,-1.964,-3.903,-5.463,-6.773,-7.889,-8.878,-9.761,-10.56,-11.29,-11.97,-12.59,-13.17,-13.71,-16.68,-17.13,-17.56,-17.97,-18.36,-18.73,-19.09,-19.43,-19.77,-20.09,-20.39,-20.68,-20.97,-21.24,-21.51,-21.77,-22.03,-22.27,-22.51,-22.74
4.00E-06,20.12,19.44,17.81,15.52,9.442,4.129,8.02E-01,-1.542,-3.347,-4.819,-6.064,-7.145,-8.087,-8.94,-9.713,-10.42,-11.07,-11.68,-12.25,-15.32,-15.78,-16.22,-16.64,-17.04,-17.42,-17.78,-18.13,-18.47,-18.8,-19.11,-19.41,-19.7,-19.98,-20.26,-20.51,-20.77,-21.02,-21.26,-21.5
4.50E-06,19.77,19.94,18.66,17.1,14.25,8.374,3.909,9.57E-01,-1.195,-2.885,-4.278,-5.466,-6.502,-7.423,-8.239,-8.988,-9.676,-10.31,-10.9,-14.08,-14.56,-15.01,-15.44,-15.85,-16.23,-16.61,-16.96,-17.31,-17.64,-17.95,-18.26,-18.56,-18.84,-19.12,-19.39,-19.65,-19.91,-20.15,-20.38
3.00E-06,19.68,17.5,12.92,4.849,3.64E-01,-2.491,-4.587,-6.25,-7.617,-8.794,-9.824,-10.74,-11.57,-12.33,-13.02,-13.65,-14.25,-14.8,-15.32,-18.21,-18.65,-19.07,-19.47,-19.85,-20.21,-20.56,-20.9,-21.22,-21.54,-21.84,-22.13,-22.41,-22.69,-22.95,-23.21,-23.46,-23.7,-23.94,-24.16
5.00E-06,19.17,20.18,19.31,17.97,16.43,12.9,7.579,3.74,1.085,-9.05E-01,-2.494,-3.817,-4.953,-5.949,-6.837,-7.639,-8.358,-9.027,-9.646,-12.95,-13.43,-13.9,-14.34,-14.75,-15.15,-15.53,-15.9,-16.25,-16.58,-16.91,-17.22,-17.52,-17.81,-18.09,-18.36,-18.63,-18.88,-19.13,-19.37
2.50E-06,18.65,15.11,5.497,4.21E-02,-3.17,-5.455,-7.22,-8.675,-9.911,-10.99,-11.94,-12.81,-13.58,-14.29,-14.95,-15.56,-16.13,-16.66,-17.16,-19.96,-20.39,-20.8,-21.2,-21.57,-21.93,-22.27,-22.6,-22.92,-23.23,-23.53,-23.81,-24.09,-24.36,-24.62,-24.88,-25.12,-25.36,-25.6,-25.82
5.50E-06,18.33,20.2,19.77,18.64,17.4,15.69,11.68,6.968,3.605,1.193,-6.59E-01,-2.158,-3.419,-4.507,-5.466,-6.324,-7.102,-7.812,-8.454,-11.87,-12.39,-12.87,-13.32,-13.74,-14.15,-14.54,-14.91,-15.27,-15.61,-15.94,-16.26,-16.56,-16.86,-17.14,-17.42,-17.69,-17.95,-18.2,-18.44
6.00E-06,17.22,20.03,20.07,19.18,18.07,16.89,14.84,10.63,6.487,3.496,1.285,-4.47E-01,-1.866,-3.07,-4.115,-5.04,-5.87,-6.625,-7.316,-10.87,-11.39,-11.88,-12.36,-12.8,-13.21,-13.61,-13.99,-14.36,-14.71,-15.04,-15.36,-15.67,-15.97,-16.26,-16.54,-16.82,-17.08,-17.34,-17.58
2.00E-06,16.88,6.547,-4.04E-01,-4.088,-6.585,-8.493,-10.04,-11.34,-12.48,-13.47,-14.36,-15.16,-15.9,-16.58,-17.2,-17.79,-18.33,-18.85,-19.33,-22.06,-22.48,-22.88,-23.27,-23.63,-23.99,-24.33,-24.65,-24.96,-25.27,-25.56,-25.84,-26.12,-26.38,-26.64,-26.89,-27.13,-27.37,-27.6,-27.82
6.50E-06,15.64,19.73,20.22,19.59,18.63,17.6,16.37,13.9,9.759,6.098,3.405,1.364,-2.62E-01,-1.61,-2.762,-3.767,-4.661,-5.465,-6.198,-9.916,-10.46,-10.96,-11.44,-11.89,-12.33,-12.74,-13.13,-13.5,-13.86,-14.2,-14.53,-14.84,-15.15,-15.44,-15.73,-16,-16.27,-16.53,-16.78
