a,b,c,d,gain,pm,ugf
1.12e-05,0.000132012,2.4e-06,3.84e-05,18.74271131,87.25892675,12.859450189999999
1.12e-05,0.000132012,2.4e-06,4.27e-05,20.02248574,88.48425649,14.297892050000002
1.12e-05,0.000132012,2.4e-06,4.69e-05,21.22020012,89.62407255,15.51293651
1.12e-05,0.000132012,2.4e-06,5.12e-05,22.35505266,90.90816184,17.467633460000002
1.12e-05,0.000132012,2.4e-06,5.55e-05,23.44379632,92.11969459,19.57201289
1.12e-05,0.000132012,2.4e-06,5.97e-05,24.50001271,93.18546752,21.45019154
1.12e-05,0.000132012,2.4e-06,6.4e-05,25.5331233,94.13902737,23.13803194
1.12e-05,0.000132012,2.4e-06,6.83e-05,26.55894874,94.7999845,25.56481256
1.12e-05,0.000132012,2.4e-06,7.25e-05,27.58264294,95.02511744,28.797869379999998
1.12e-05,0.000132012,2.4e-06,7.68e-05,28.6161588,95.01821047,31.772708129999998
1.12e-05,0.000132012,2.4e-06,8.11e-05,29.67052875,94.80062339,34.52317151
1.12e-05,0.000132012,2.4e-06,8.53e-05,30.75757341,94.09516189,37.84917787
1.12e-05,0.000132012,2.4e-06,8.96e-05,31.88821031,92.45045759,42.55885566
1.12e-05,0.000132012,2.666667e-06,3.84e-05,18.35747708,88.75406112,12.725609720000001
1.12e-05,0.000132012,2.666667e-06,4.27e-05,19.64060375,89.93456528,14.209209470000001
1.12e-05,0.000132012,2.666667e-06,4.69e-05,20.84370336,91.03439531,15.46176788
1.12e-05,0.000132012,2.666667e-06,5.12e-05,21.98427639,92.27173687,17.424361910000002
1.12e-05,0.000132012,2.666667e-06,5.55e-05,23.07941424,93.45728779,19.592777429999998
1.12e-05,0.000132012,2.666667e-06,5.97e-05,24.14302613,94.50429522,21.52628927
1.12e-05,0.000132012,2.666667e-06,6.4e-05,25.18445379,95.44508946,23.26201109
1.12e-05,0.000132012,2.666667e-06,6.83e-05,26.22096655,96.03102689,25.95928841
